订单编号,订单状态,下单时间,支付时间,发货时间,商品型号,商品件数,商品ID,SKU ID
"	819686950776744",已关闭,11/13/2022 10:16,,,桃木褐30号,1,5730170770,85770385833
"	819575255815344",已关闭,11/6/2022 8:50,,,桃木褐36号,1,5730170770,85770385839
"	819566485416615",已完成,11/6/2022 8:44,11/6/2022 8:44,11/6/2022 16:39,桃木褐36号,1,5730170770,85770385839
"	819566544085739",已关闭,11/6/2022 7:53,,,狐狸灰36号,1,5730170770,85770539838
"	819575171997151",已发货,11/6/2022 7:46,11/6/2022 7:47,11/6/2022 16:39,桃木褐36号,1,5730170770,85770385839
"	819574979354455",已关闭,11/6/2022 7:40,,,桃木褐34号,1,5730170770,85770385837
"	819574849198622",已完成,11/6/2022 7:28,11/6/2022 7:29,11/6/2022 16:39,桃木褐34号,1,5730170770,85770385837
"	819574675243970",已发货,11/6/2022 6:59,11/6/2022 7:00,11/6/2022 16:39,桃木褐34号,1,5730170770,85770385837
"	819566223911868",已完成,11/6/2022 6:57,11/6/2022 6:57,11/6/2022 16:39,桃木褐30号,1,5730170770,85770385833
"	819566766547135",已完成,11/6/2022 6:48,11/6/2022 6:48,11/6/2022 16:39,狐狸灰32号,1,5730170770,85770539834
"	819566765636866",已关闭,11/6/2022 6:12,,,狐狸灰32号,1,5730170770,85770539834
"	819566393276079",已完成,11/6/2022 2:38,11/6/2022 2:38,11/6/2022 16:39,狐狸灰36号,1,5730170770,85770539838
"	819565689890360",已完成,11/6/2022 0:03,11/6/2022 0:03,11/6/2022 16:39,桃木褐36号,1,5730170770,85770385839
"	819564697318618",待发货,11/5/2022 23:26,11/5/2022 23:40,,桃木褐34号,1,5730170770,85770385837
"	819573491076946",已完成,11/5/2022 23:18,11/5/2022 23:19,11/6/2022 16:39,桃木褐34号,1,5730170770,85770385837
"	819572693762224",已关闭,11/5/2022 22:34,,,桃木褐36号,1,5730170770,85770385839
"	819563296882155",已完成,11/5/2022 21:48,11/5/2022 21:48,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819562747455657",已关闭,11/5/2022 21:37,11/5/2022 21:37,,桃木褐36号,1,5730170770,85770385839
"	819562553979194",已完成,11/5/2022 21:36,11/5/2022 21:38,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819570972220483",已完成,11/5/2022 21:35,11/5/2022 21:35,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819562817238240",已发货,11/5/2022 21:30,11/5/2022 21:30,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819570519968526",已完成,11/5/2022 21:19,11/5/2022 21:19,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819569897198564",已完成,11/5/2022 21:09,11/5/2022 21:11,11/6/2022 0:46,桃木褐36号,1,5730170770,85770385839
"	819566833668644",已完成,11/5/2022 20:33,11/5/2022 20:33,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819557892208113",已关闭,11/5/2022 20:30,,,桃木褐34号,1,5730170770,85770385837
"	819564995351205",已关闭,11/5/2022 20:22,,,狐狸灰36号,1,5730170770,85770539838
"	819556699794399",已完成,11/5/2022 20:21,11/5/2022 20:22,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819555734988023",已完成,11/5/2022 20:17,11/5/2022 20:18,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819554947085892",已关闭,11/5/2022 20:12,,,桃木褐34号,1,5730170770,85770385837
"	819558152920641",已关闭,11/5/2022 19:58,,,桃木褐36号,1,5730170770,85770385839
"	819557351884492",已完成,11/5/2022 19:15,11/5/2022 19:15,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819557056921922",已关闭,11/5/2022 18:51,,,桃木褐34号,1,5730170770,85770385837
"	819548542101770",已发货,11/5/2022 18:46,11/5/2022 18:47,11/6/2022 17:31,狐狸灰36号,1,5730170770,85770539838
"	819548698621136",已完成,11/5/2022 18:37,11/5/2022 18:37,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819556729232697",已关闭,11/5/2022 18:12,,,桃木褐34号,1,5730170770,85770385837
"	819547889300665",已完成,11/5/2022 17:45,11/5/2022 17:45,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819548236932130",已完成,11/5/2022 17:39,11/5/2022 17:40,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819556414347012",已关闭,11/5/2022 17:18,11/5/2022 17:19,,桃木褐34号,1,5730170770,85770385837
"	819556075084924",已完成,11/5/2022 17:06,11/5/2022 17:09,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819555929609526",已完成,11/5/2022 16:54,11/5/2022 16:55,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819555976939249",已关闭,11/5/2022 16:52,,,桃木褐34号,1,5730170770,85770385837
"	819547748150604",已关闭,11/5/2022 16:49,,,桃木褐30号,1,5730170770,85770385833
"	819547651222860",已关闭,11/5/2022 16:43,,,桃木褐34号,1,5730170770,85770385837
"	819547363802605",已关闭,11/5/2022 16:31,11/5/2022 16:31,,桃木褐34号,1,5730170770,85770385837
"	819547347037235",已完成,11/5/2022 16:29,11/5/2022 16:29,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819555670248525",已完成,11/5/2022 16:26,11/5/2022 16:27,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819555823321509",已发货,11/5/2022 15:58,11/5/2022 15:59,11/6/2022 17:29,桃木褐34号,1,5730170770,85770385837
"	819555662548669",已发货,11/5/2022 15:57,11/5/2022 15:58,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819547241310094",已关闭,11/5/2022 15:49,11/5/2022 15:49,,狐狸灰36号,1,5730170770,85770539838
"	819547224060024",已完成,11/5/2022 15:43,11/5/2022 15:43,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819547303129208",已关闭,11/5/2022 15:41,11/5/2022 15:41,,桃木褐30号,1,5730170770,85770385833
"	819547142631544",已关闭,11/5/2022 15:40,11/5/2022 15:40,,桃木褐34号,1,5730170770,85770385837
"	819555164489597",已完成,11/5/2022 15:38,11/5/2022 15:38,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819555625491974",已完成,11/5/2022 15:38,11/5/2022 15:38,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819555625325290",已完成,11/5/2022 15:37,11/5/2022 15:40,11/7/2022 15:45,狐狸灰32号,1,5730170770,85770539834
